name,reference,lon1,lat1,lon2,lat2,dist1,dist2,e_lb1,e_lb2,e_dist1,e_dist2,width,frame,flag,notes
Pegasus,Perottoni2019,328.3,20.8,333.4,28.1,18,18,0.17,0.17,2,2,0.17,icrs,gold,not in galstreams (as of July 10 2019)
Phlegethon,Ibata2018,284.75,-59.2,324.5,-0.26,3.57,3.57,1.4,1.4,0.28,0.28,1.4,icrs,silver,endpt2 is ~10 deg within stream
Phoenix,Shipp2018,20.1,-55.3,27.9,-42.7,19.1,19.1,0.16,0.16,3.82,3.82,0.16,icrs,gold,
Ravi,Shipp2018,-25.2,-44.1,-16,-59.7,22.9,22.9,0.72,0.72,4.58,4.58,0.72,icrs,gold,
Sangarius,Grillmair2017a,134.06,-17.79,131.57,32.65,21,21,0.5,0.5,5,5,0.42,icrs,red,in VPOS (Grillmair2017a)
Scamander,Grillmair2017a,151.64,-20.47,143.61,44.34,21,21,0.5,0.5,5,5,0.42,icrs,red,in VPOS (Grillmair2017a)
Slidr,Ibata2019,148.38,14.99,178.01,2.98,3.65,3.65,0.5,0.5,0.09,0.09,0,icrs,silver,
Styx,Grillmair2009,259,21,194,20,50,38,1.4,1.4,10,7.6,1.4,icrs,gold,e_lb from FWHM of 3.3
Svol,Ibata2019,244.44,23.37,248.73,40.94,7.76,7.76,0.5,0.5,0.21,0.21,0,icrs,silver,
Sylgr,Ibata2019,167.79,-8.35,186.58,-1.26,4.1,4.1,0.5,0.5,0.02,0.02,0,icrs,silver,
Tri/Pis,Bonaca2012,21.346,34.977,23.975,23.201,26,26,0.5,0.5,4,4,0.2,icrs,gold,
TucanaIII,Shipp2018,-6.3,-59.7,3.2,-59.4,25.1,25.1,0.18,0.18,5.02,5.02,0.18,icrs,gold,distance gradient in DW2015?
Turbio,Shipp2018,28,-61,27.9,-46,16.6,16.6,0.25,0.25,3.32,3.32,0.25,icrs,gold,
Turranburra,Shipp2018,59.3,-18,75.2,-26.4,27.5,27.5,0.6,0.6,5.5,5.5,0.6,icrs,gold,
Wambelong,Shipp2018,90.5,-45.6,79.3,-34.3,15.1,15.1,0.4,0.4,3.02,3.02,0.4,icrs,gold,
Willka_Yaku,Shipp2018,36.1,-64.6,38.4,-58.3,34.7,34.7,0.21,0.21,6.94,6.94,0.21,icrs,gold,
Ylgr,Ibata2019,169.05,-10.36,182.65,-37.12,9.53,9.53,0.5,0.5,0.26,0.26,0,icrs,silver,
