name,reference,bibcode,lon1,lat1,lon2,lat2,dist1,dist2,e_lb1,e_lb2,e_dist1,e_dist2,width,frame,flag,notes
20.0-1,Mateu:2018,2018MNRAS.474.4112M,112.92,61.56,273.92,-43.35,12.55,28.05,1.8,1.8,1.255,2.805,1.8,icrs,red,maybe associated with PS1-C
Acheron,Grillmair:2009,2009ApJ...693.1118G,230,-2,259,21,3.8,3.5,0.5,0.5,0.76,0.7,0.38,icrs,gold,"distance swapped in galstreams, FWHM=0.9deg"
ACS,Grillmair:2006a,2006ApJ...651L..29G,126.4,-0.7,133.9,64.2,8.9,8.9,2.12,2.12,0.2,0.2,2.12,icrs,gold,"take reported 5deg width as FWHM, maybe switch to Morganson2016? https://arxiv.org/abs/1907.10678"
Aliqa Uma,Shipp:2018,2018ApJ...862..114S,31.7,-31.5,40.6,-38.3,28.8,28.8,0.26,0.26,5.76,5.76,0.26,icrs,gold,
Alpheus,Grillmair:2013,2013ApJ...769L..23G,27.7,-45,21.58,-69,2,1.6,1.36,1.36,0.7,0.8,1.36,icrs,gold,"endpt2 from eqn 1, width FWHM 3.2"
ATLAS,Shipp:2018,2018ApJ...862..114S,9.3,-20.9,30.7,-33.2,22.9,22.9,0.24,0.24,4.58,4.58,0.24,icrs,gold,
Cetus,Yam:2013,2013ApJ...776..133Y,20.01,-4.12,31.97,23.61,32.5,27.2,3.5,4.7,1.3,1.7,9.4,icrs,red,"disagrees heavily w/ galstreams, width averaged between all bins"
Chenab,Shipp:2018,2018ApJ...862..114S,-40.7,-59.9,-28.3,-43,39.8,39.8,0.71,0.71,7.96,7.96,0.71,icrs,gold,
Cocytos,Grillmair:2009,2009ApJ...693.1118G,186,-3,259,20,11,11,0.5,0.5,2,2,0.3,icrs,gold,
Corvus,Mateu:2018,2018MNRAS.474.4112M,84.98,-16.95,266.16,-22.06,3.24,19.39,1.63,1.63,0.324,1.939,1.63,icrs,red,
EBS,Grillmair:2011,2011ApJ...738...98G,132.25,13.6,135.4,0.12,9.4,9.7,0.5,0.5,1.4,0.9,0.24,icrs,red,"Deason2017 says is just another part of Monoceros, maybe switch to Morganson2016?"
Elqui,Shipp:2018,2018ApJ...862..114S,10.7,-36.9,20.6,-42.4,50.1,50.1,0.54,0.54,10.02,10.02,0.54,icrs,gold,
Fimbulthul,Ibata:2019,2019ApJ...872..152I,198.74,-29.56,214.23,-22.76,4.22,4.22,0.5,0.5,0.01,0.01,0,icrs,silver,
"Fj\""{o}rm",Ibata:2019,2019ApJ...872..152I,197.37,5.55,250.88,64.2,4.9,4.9,0.5,0.5,0.07,0.07,0,icrs,silver,
Gaia-1,Malhan:2018,2018MNRAS.481.3442M,184,-18,197,-2,6,5,0.5,0.5,0.6,0.5,0.5,icrs,gold,distance swapped in galstreams
Gaia-2,Malhan:2018,2018MNRAS.481.3442M,6,-22,15,-27,13,10,0.5,0.5,1.3,1,0,icrs,gold,distance swapped in galstreams
